2024-05-19 17:47:46.434384: [training]
2024-05-19 17:47:52.454663: iter: [1/100], train_loss: 3.356693, valid_loss: 0.034441, best_valid_loss: 0.034441, lr: 0.00300
2024-05-19 17:47:54.380224: iter: [2/100], train_loss: 0.735951, valid_loss: 0.034145, best_valid_loss: 0.034145, lr: 0.00300
2024-05-19 17:47:56.362499: iter: [3/100], train_loss: 0.341554, valid_loss: 0.071463, best_valid_loss: 0.034145, lr: 0.00300
2024-05-19 17:47:58.387732: iter: [4/100], train_loss: 0.128988, valid_loss: 0.007619, best_valid_loss: 0.007619, lr: 0.00300
2024-05-19 17:48:00.356751: iter: [5/100], train_loss: 0.072037, valid_loss: 0.005137, best_valid_loss: 0.005137, lr: 0.00300
2024-05-19 17:48:02.379143: iter: [6/100], train_loss: 0.063487, valid_loss: 0.003940, best_valid_loss: 0.003940, lr: 0.00300
2024-05-19 17:48:04.322482: iter: [7/100], train_loss: 0.053511, valid_loss: 0.004462, best_valid_loss: 0.003940, lr: 0.00300
2024-05-19 17:48:06.358287: iter: [8/100], train_loss: 0.050695, valid_loss: 0.003363, best_valid_loss: 0.003363, lr: 0.00300
2024-05-19 17:48:08.442734: iter: [9/100], train_loss: 0.046124, valid_loss: 0.004399, best_valid_loss: 0.003363, lr: 0.00300
2024-05-19 17:48:10.338850: iter: [10/100], train_loss: 0.041147, valid_loss: 0.003560, best_valid_loss: 0.003363, lr: 0.00300
2024-05-19 17:48:12.340246: iter: [11/100], train_loss: 0.040015, valid_loss: 0.002809, best_valid_loss: 0.002809, lr: 0.00300
2024-05-19 17:48:14.341877: iter: [12/100], train_loss: 0.039899, valid_loss: 0.002563, best_valid_loss: 0.002563, lr: 0.00300
2024-05-19 17:48:16.416814: iter: [13/100], train_loss: 0.037331, valid_loss: 0.002151, best_valid_loss: 0.002151, lr: 0.00300
2024-05-19 17:48:18.506814: iter: [14/100], train_loss: 0.036194, valid_loss: 0.003192, best_valid_loss: 0.002151, lr: 0.00300
2024-05-19 17:48:20.429422: iter: [15/100], train_loss: 0.032948, valid_loss: 0.002441, best_valid_loss: 0.002151, lr: 0.00300
2024-05-19 17:48:22.001453: iter: [16/100], train_loss: 0.025791, valid_loss: 0.001493, best_valid_loss: 0.001493, lr: 0.00300
2024-05-19 17:48:23.639628: iter: [17/100], train_loss: 0.022135, valid_loss: 0.001393, best_valid_loss: 0.001393, lr: 0.00300
2024-05-19 17:48:25.072984: iter: [18/100], train_loss: 0.022625, valid_loss: 0.001781, best_valid_loss: 0.001393, lr: 0.00300
2024-05-19 17:48:26.472271: iter: [19/100], train_loss: 0.026582, valid_loss: 0.002457, best_valid_loss: 0.001393, lr: 0.00300
2024-05-19 17:48:27.744166: iter: [20/100], train_loss: 0.024142, valid_loss: 0.000934, best_valid_loss: 0.000934, lr: 0.00300
2024-05-19 17:48:29.175134: iter: [21/100], train_loss: 0.020825, valid_loss: 0.001023, best_valid_loss: 0.000934, lr: 0.00300
2024-05-19 17:48:30.553324: iter: [22/100], train_loss: 0.019805, valid_loss: 0.000857, best_valid_loss: 0.000857, lr: 0.00300
2024-05-19 17:48:31.989119: iter: [23/100], train_loss: 0.017523, valid_loss: 0.001162, best_valid_loss: 0.000857, lr: 0.00300
2024-05-19 17:48:33.371338: iter: [24/100], train_loss: 0.018844, valid_loss: 0.001777, best_valid_loss: 0.000857, lr: 0.00300
2024-05-19 17:48:34.771094: iter: [25/100], train_loss: 0.019069, valid_loss: 0.000956, best_valid_loss: 0.000857, lr: 0.00300
2024-05-19 17:48:36.142887: iter: [26/100], train_loss: 0.019257, valid_loss: 0.001219, best_valid_loss: 0.000857, lr: 0.00300
2024-05-19 17:48:37.591394: iter: [27/100], train_loss: 0.016675, valid_loss: 0.001313, best_valid_loss: 0.000857, lr: 0.00300
2024-05-19 17:48:39.005226: iter: [28/100], train_loss: 0.017299, valid_loss: 0.002008, best_valid_loss: 0.000857, lr: 0.00300
2024-05-19 17:48:40.343992: iter: [29/100], train_loss: 0.017356, valid_loss: 0.000778, best_valid_loss: 0.000778, lr: 0.00300
2024-05-19 17:48:41.651178: iter: [30/100], train_loss: 0.016034, valid_loss: 0.001182, best_valid_loss: 0.000778, lr: 0.00300
2024-05-19 17:48:43.164236: iter: [31/100], train_loss: 0.016832, valid_loss: 0.000742, best_valid_loss: 0.000742, lr: 0.00300
2024-05-19 17:48:44.542902: iter: [32/100], train_loss: 0.016980, valid_loss: 0.001180, best_valid_loss: 0.000742, lr: 0.00300
2024-05-19 17:48:46.007578: iter: [33/100], train_loss: 0.015636, valid_loss: 0.000852, best_valid_loss: 0.000742, lr: 0.00300
2024-05-19 17:48:47.403091: iter: [34/100], train_loss: 0.013923, valid_loss: 0.001412, best_valid_loss: 0.000742, lr: 0.00300
2024-05-19 17:48:48.786209: iter: [35/100], train_loss: 0.012817, valid_loss: 0.001287, best_valid_loss: 0.000742, lr: 0.00300
2024-05-19 17:48:50.143981: iter: [36/100], train_loss: 0.009772, valid_loss: 0.000725, best_valid_loss: 0.000725, lr: 0.00300
2024-05-19 17:48:51.469047: iter: [37/100], train_loss: 0.009105, valid_loss: 0.000662, best_valid_loss: 0.000662, lr: 0.00300
2024-05-19 17:48:52.808114: iter: [38/100], train_loss: 0.012990, valid_loss: 0.000838, best_valid_loss: 0.000662, lr: 0.00300
2024-05-19 17:48:54.231894: iter: [39/100], train_loss: 0.009426, valid_loss: 0.000895, best_valid_loss: 0.000662, lr: 0.00300
2024-05-19 17:48:55.678787: iter: [40/100], train_loss: 0.011403, valid_loss: 0.001163, best_valid_loss: 0.000662, lr: 0.00300
2024-05-19 17:48:57.020751: iter: [41/100], train_loss: 0.011253, valid_loss: 0.000791, best_valid_loss: 0.000662, lr: 0.00300
2024-05-19 17:48:58.506646: iter: [42/100], train_loss: 0.008883, valid_loss: 0.000772, best_valid_loss: 0.000662, lr: 0.00300
2024-05-19 17:48:59.889571: iter: [43/100], train_loss: 0.009308, valid_loss: 0.000829, best_valid_loss: 0.000662, lr: 0.00300
2024-05-19 17:49:01.260847: iter: [44/100], train_loss: 0.009969, valid_loss: 0.000780, best_valid_loss: 0.000662, lr: 0.00300
2024-05-19 17:49:02.597818: iter: [45/100], train_loss: 0.008048, valid_loss: 0.000720, best_valid_loss: 0.000662, lr: 0.00300
2024-05-19 17:49:03.973221: iter: [46/100], train_loss: 0.008306, valid_loss: 0.000633, best_valid_loss: 0.000633, lr: 0.00300
2024-05-19 17:49:05.247815: iter: [47/100], train_loss: 0.008442, valid_loss: 0.000636, best_valid_loss: 0.000633, lr: 0.00300
2024-05-19 17:49:06.700303: iter: [48/100], train_loss: 0.008551, valid_loss: 0.000725, best_valid_loss: 0.000633, lr: 0.00300
2024-05-19 17:49:08.140789: iter: [49/100], train_loss: 0.008999, valid_loss: 0.001121, best_valid_loss: 0.000633, lr: 0.00300
2024-05-19 17:49:09.679095: iter: [50/100], train_loss: 0.009227, valid_loss: 0.000654, best_valid_loss: 0.000633, lr: 0.00300
2024-05-19 17:49:11.196274: iter: [51/100], train_loss: 0.007764, valid_loss: 0.000680, best_valid_loss: 0.000633, lr: 0.00300
2024-05-19 17:49:12.575289: iter: [52/100], train_loss: 0.007211, valid_loss: 0.000726, best_valid_loss: 0.000633, lr: 0.00300
2024-05-19 17:49:13.970048: iter: [53/100], train_loss: 0.008086, valid_loss: 0.000608, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:15.296262: iter: [54/100], train_loss: 0.006911, valid_loss: 0.000614, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:16.688806: iter: [55/100], train_loss: 0.006848, valid_loss: 0.000628, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:18.124561: iter: [56/100], train_loss: 0.007023, valid_loss: 0.000626, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:19.486619: iter: [57/100], train_loss: 0.006588, valid_loss: 0.000674, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:20.874988: iter: [58/100], train_loss: 0.007022, valid_loss: 0.000619, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:22.186456: iter: [59/100], train_loss: 0.006970, valid_loss: 0.000634, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:23.451732: iter: [60/100], train_loss: 0.006760, valid_loss: 0.000628, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:24.755603: iter: [61/100], train_loss: 0.006937, valid_loss: 0.000629, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:26.075447: iter: [62/100], train_loss: 0.006584, valid_loss: 0.000614, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:27.462201: iter: [63/100], train_loss: 0.006835, valid_loss: 0.000665, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:28.922342: iter: [64/100], train_loss: 0.006626, valid_loss: 0.000614, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:30.285790: iter: [65/100], train_loss: 0.006835, valid_loss: 0.000632, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:31.749479: iter: [66/100], train_loss: 0.007055, valid_loss: 0.000616, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:33.219378: iter: [67/100], train_loss: 0.007460, valid_loss: 0.000721, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:34.502770: iter: [68/100], train_loss: 0.007748, valid_loss: 0.000673, best_valid_loss: 0.000608, lr: 0.00300
2024-05-19 17:49:35.744180: iter: [69/100], train_loss: 0.006793, valid_loss: 0.000653, best_valid_loss: 0.000608, lr: 0.00300
