2024-05-19 18:17:42.355876: [training]
2024-05-19 18:17:48.205954: iter: [1/100], train_loss: 2.266777, valid_loss: 0.022338, best_valid_loss: 0.022338, lr: 0.00800
2024-05-19 18:17:49.795307: iter: [2/100], train_loss: 0.300349, valid_loss: 0.013387, best_valid_loss: 0.013387, lr: 0.00800
2024-05-19 18:17:51.427792: iter: [3/100], train_loss: 0.113166, valid_loss: 0.008122, best_valid_loss: 0.008122, lr: 0.00800
2024-05-19 18:17:53.092692: iter: [4/100], train_loss: 0.081217, valid_loss: 0.007848, best_valid_loss: 0.007848, lr: 0.00800
2024-05-19 18:17:54.762460: iter: [5/100], train_loss: 0.074773, valid_loss: 0.004222, best_valid_loss: 0.004222, lr: 0.00800
2024-05-19 18:17:56.401863: iter: [6/100], train_loss: 0.059482, valid_loss: 0.004348, best_valid_loss: 0.004222, lr: 0.00800
2024-05-19 18:17:58.039039: iter: [7/100], train_loss: 0.051862, valid_loss: 0.014830, best_valid_loss: 0.004222, lr: 0.00800
2024-05-19 18:17:59.692657: iter: [8/100], train_loss: 0.073675, valid_loss: 0.006351, best_valid_loss: 0.004222, lr: 0.00800
2024-05-19 18:18:01.386527: iter: [9/100], train_loss: 0.059407, valid_loss: 0.002888, best_valid_loss: 0.002888, lr: 0.00800
2024-05-19 18:18:03.031737: iter: [10/100], train_loss: 0.046547, valid_loss: 0.004537, best_valid_loss: 0.002888, lr: 0.00800
2024-05-19 18:18:04.680065: iter: [11/100], train_loss: 0.041030, valid_loss: 0.003772, best_valid_loss: 0.002888, lr: 0.00800
2024-05-19 18:18:06.370539: iter: [12/100], train_loss: 0.035672, valid_loss: 0.002840, best_valid_loss: 0.002840, lr: 0.00800
2024-05-19 18:18:08.060551: iter: [13/100], train_loss: 0.039931, valid_loss: 0.001627, best_valid_loss: 0.001627, lr: 0.00800
2024-05-19 18:18:09.706126: iter: [14/100], train_loss: 0.032276, valid_loss: 0.002516, best_valid_loss: 0.001627, lr: 0.00800
2024-05-19 18:18:11.443526: iter: [15/100], train_loss: 0.025172, valid_loss: 0.001551, best_valid_loss: 0.001551, lr: 0.00800
2024-05-19 18:18:13.131691: iter: [16/100], train_loss: 0.021984, valid_loss: 0.001077, best_valid_loss: 0.001077, lr: 0.00800
2024-05-19 18:18:14.766031: iter: [17/100], train_loss: 0.024557, valid_loss: 0.002743, best_valid_loss: 0.001077, lr: 0.00800
2024-05-19 18:18:16.399253: iter: [18/100], train_loss: 0.015156, valid_loss: 0.001351, best_valid_loss: 0.001077, lr: 0.00800
2024-05-19 18:18:18.043162: iter: [19/100], train_loss: 0.021794, valid_loss: 0.003632, best_valid_loss: 0.001077, lr: 0.00800
2024-05-19 18:18:19.691058: iter: [20/100], train_loss: 0.025810, valid_loss: 0.001244, best_valid_loss: 0.001077, lr: 0.00800
2024-05-19 18:18:21.219739: iter: [21/100], train_loss: 0.015089, valid_loss: 0.000847, best_valid_loss: 0.000847, lr: 0.00800
2024-05-19 18:18:22.785763: iter: [22/100], train_loss: 0.010230, valid_loss: 0.000718, best_valid_loss: 0.000718, lr: 0.00800
2024-05-19 18:18:24.065887: iter: [23/100], train_loss: 0.008714, valid_loss: 0.000739, best_valid_loss: 0.000718, lr: 0.00800
2024-05-19 18:18:25.480599: iter: [24/100], train_loss: 0.010400, valid_loss: 0.000891, best_valid_loss: 0.000718, lr: 0.00800
2024-05-19 18:18:26.712593: iter: [25/100], train_loss: 0.009828, valid_loss: 0.001526, best_valid_loss: 0.000718, lr: 0.00800
2024-05-19 18:18:28.080698: iter: [26/100], train_loss: 0.011353, valid_loss: 0.000791, best_valid_loss: 0.000718, lr: 0.00800
2024-05-19 18:18:29.366092: iter: [27/100], train_loss: 0.009800, valid_loss: 0.000764, best_valid_loss: 0.000718, lr: 0.00800
2024-05-19 18:18:30.597812: iter: [28/100], train_loss: 0.009821, valid_loss: 0.000670, best_valid_loss: 0.000670, lr: 0.00800
2024-05-19 18:18:31.905224: iter: [29/100], train_loss: 0.008202, valid_loss: 0.000681, best_valid_loss: 0.000670, lr: 0.00800
2024-05-19 18:18:33.225444: iter: [30/100], train_loss: 0.009238, valid_loss: 0.000650, best_valid_loss: 0.000650, lr: 0.00800
2024-05-19 18:18:34.649474: iter: [31/100], train_loss: 0.009992, valid_loss: 0.000840, best_valid_loss: 0.000650, lr: 0.00800
2024-05-19 18:18:36.120467: iter: [32/100], train_loss: 0.009536, valid_loss: 0.000647, best_valid_loss: 0.000647, lr: 0.00800
2024-05-19 18:18:37.511851: iter: [33/100], train_loss: 0.008697, valid_loss: 0.000987, best_valid_loss: 0.000647, lr: 0.00800
2024-05-19 18:18:38.887935: iter: [34/100], train_loss: 0.008635, valid_loss: 0.001288, best_valid_loss: 0.000647, lr: 0.00800
2024-05-19 18:18:40.231373: iter: [35/100], train_loss: 0.011562, valid_loss: 0.000874, best_valid_loss: 0.000647, lr: 0.00800
2024-05-19 18:18:41.549829: iter: [36/100], train_loss: 0.007491, valid_loss: 0.000660, best_valid_loss: 0.000647, lr: 0.00800
2024-05-19 18:18:42.889553: iter: [37/100], train_loss: 0.007836, valid_loss: 0.000608, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:44.074026: iter: [38/100], train_loss: 0.011126, valid_loss: 0.001674, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:45.363436: iter: [39/100], train_loss: 0.012241, valid_loss: 0.000660, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:46.674835: iter: [40/100], train_loss: 0.009563, valid_loss: 0.001868, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:48.005085: iter: [41/100], train_loss: 0.013210, valid_loss: 0.001349, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:49.292209: iter: [42/100], train_loss: 0.010495, valid_loss: 0.001062, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:50.780205: iter: [43/100], train_loss: 0.008391, valid_loss: 0.001007, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:52.097093: iter: [44/100], train_loss: 0.009764, valid_loss: 0.000689, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:53.342484: iter: [45/100], train_loss: 0.007500, valid_loss: 0.000705, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:54.615374: iter: [46/100], train_loss: 0.008037, valid_loss: 0.000727, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:55.902534: iter: [47/100], train_loss: 0.008566, valid_loss: 0.000614, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:57.264110: iter: [48/100], train_loss: 0.010461, valid_loss: 0.000788, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:18:58.839496: iter: [49/100], train_loss: 0.008673, valid_loss: 0.001736, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:19:00.267472: iter: [50/100], train_loss: 0.009582, valid_loss: 0.000612, best_valid_loss: 0.000608, lr: 0.00800
2024-05-19 18:19:01.726678: iter: [51/100], train_loss: 0.006901, valid_loss: 0.000588, best_valid_loss: 0.000588, lr: 0.00800
2024-05-19 18:19:03.037586: iter: [52/100], train_loss: 0.006396, valid_loss: 0.000609, best_valid_loss: 0.000588, lr: 0.00800
2024-05-19 18:19:04.355881: iter: [53/100], train_loss: 0.007712, valid_loss: 0.000592, best_valid_loss: 0.000588, lr: 0.00800
2024-05-19 18:19:05.726089: iter: [54/100], train_loss: 0.006452, valid_loss: 0.000587, best_valid_loss: 0.000587, lr: 0.00800
