2024-05-19 18:14:28.927973: [training]
2024-05-19 18:14:35.717988: iter: [1/100], train_loss: 2.583065, valid_loss: 0.018152, best_valid_loss: 0.018152, lr: 0.00600
2024-05-19 18:14:37.888078: iter: [2/100], train_loss: 0.311223, valid_loss: 0.077655, best_valid_loss: 0.018152, lr: 0.00600
2024-05-19 18:14:39.922692: iter: [3/100], train_loss: 0.124439, valid_loss: 0.007318, best_valid_loss: 0.007318, lr: 0.00600
2024-05-19 18:14:42.153298: iter: [4/100], train_loss: 0.075801, valid_loss: 0.006287, best_valid_loss: 0.006287, lr: 0.00600
2024-05-19 18:14:44.371707: iter: [5/100], train_loss: 0.065926, valid_loss: 0.003874, best_valid_loss: 0.003874, lr: 0.00600
2024-05-19 18:14:46.670102: iter: [6/100], train_loss: 0.055371, valid_loss: 0.003843, best_valid_loss: 0.003843, lr: 0.00600
2024-05-19 18:14:48.698600: iter: [7/100], train_loss: 0.045977, valid_loss: 0.003624, best_valid_loss: 0.003624, lr: 0.00600
2024-05-19 18:14:50.927925: iter: [8/100], train_loss: 0.049549, valid_loss: 0.002423, best_valid_loss: 0.002423, lr: 0.00600
2024-05-19 18:14:52.963873: iter: [9/100], train_loss: 0.046106, valid_loss: 0.006751, best_valid_loss: 0.002423, lr: 0.00600
2024-05-19 18:14:55.308565: iter: [10/100], train_loss: 0.073918, valid_loss: 0.004576, best_valid_loss: 0.002423, lr: 0.00600
2024-05-19 18:14:57.517590: iter: [11/100], train_loss: 0.043456, valid_loss: 0.002237, best_valid_loss: 0.002237, lr: 0.00600
2024-05-19 18:14:59.462128: iter: [12/100], train_loss: 0.028504, valid_loss: 0.002356, best_valid_loss: 0.002237, lr: 0.00600
2024-05-19 18:15:01.082188: iter: [13/100], train_loss: 0.027397, valid_loss: 0.001956, best_valid_loss: 0.001956, lr: 0.00600
2024-05-19 18:15:02.437454: iter: [14/100], train_loss: 0.028944, valid_loss: 0.001537, best_valid_loss: 0.001537, lr: 0.00600
2024-05-19 18:15:03.703314: iter: [15/100], train_loss: 0.027320, valid_loss: 0.001976, best_valid_loss: 0.001537, lr: 0.00600
2024-05-19 18:15:05.092261: iter: [16/100], train_loss: 0.024103, valid_loss: 0.001019, best_valid_loss: 0.001019, lr: 0.00600
2024-05-19 18:15:06.372628: iter: [17/100], train_loss: 0.018805, valid_loss: 0.001120, best_valid_loss: 0.001019, lr: 0.00600
2024-05-19 18:15:07.707987: iter: [18/100], train_loss: 0.014565, valid_loss: 0.001827, best_valid_loss: 0.001019, lr: 0.00600
2024-05-19 18:15:09.063412: iter: [19/100], train_loss: 0.017805, valid_loss: 0.004076, best_valid_loss: 0.001019, lr: 0.00600
2024-05-19 18:15:10.363538: iter: [20/100], train_loss: 0.029136, valid_loss: 0.001912, best_valid_loss: 0.001019, lr: 0.00600
2024-05-19 18:15:11.737876: iter: [21/100], train_loss: 0.020516, valid_loss: 0.000831, best_valid_loss: 0.000831, lr: 0.00600
2024-05-19 18:15:13.077514: iter: [22/100], train_loss: 0.011322, valid_loss: 0.000753, best_valid_loss: 0.000753, lr: 0.00600
2024-05-19 18:15:14.344175: iter: [23/100], train_loss: 0.011062, valid_loss: 0.000803, best_valid_loss: 0.000753, lr: 0.00600
2024-05-19 18:15:15.721363: iter: [24/100], train_loss: 0.009848, valid_loss: 0.000871, best_valid_loss: 0.000753, lr: 0.00600
2024-05-19 18:15:17.012597: iter: [25/100], train_loss: 0.010168, valid_loss: 0.001621, best_valid_loss: 0.000753, lr: 0.00600
2024-05-19 18:15:18.376616: iter: [26/100], train_loss: 0.012693, valid_loss: 0.000934, best_valid_loss: 0.000753, lr: 0.00600
