2024-05-19 18:02:13.918873: [training]
2024-05-19 18:02:21.034659: iter: [1/100], train_loss: 2.074428, valid_loss: 0.034973, best_valid_loss: 0.034973, lr: 0.01000
2024-05-19 18:02:23.186630: iter: [2/100], train_loss: 0.167915, valid_loss: 0.011993, best_valid_loss: 0.011993, lr: 0.01000
2024-05-19 18:02:25.553253: iter: [3/100], train_loss: 0.096026, valid_loss: 0.007719, best_valid_loss: 0.007719, lr: 0.01000
2024-05-19 18:02:27.668527: iter: [4/100], train_loss: 0.086496, valid_loss: 0.008493, best_valid_loss: 0.007719, lr: 0.01000
2024-05-19 18:02:29.909184: iter: [5/100], train_loss: 0.092669, valid_loss: 0.005873, best_valid_loss: 0.005873, lr: 0.01000
2024-05-19 18:02:32.201748: iter: [6/100], train_loss: 0.059135, valid_loss: 0.003616, best_valid_loss: 0.003616, lr: 0.01000
2024-05-19 18:02:34.269310: iter: [7/100], train_loss: 0.039574, valid_loss: 0.003236, best_valid_loss: 0.003236, lr: 0.01000
2024-05-19 18:02:36.546332: iter: [8/100], train_loss: 0.037115, valid_loss: 0.002422, best_valid_loss: 0.002422, lr: 0.01000
2024-05-19 18:02:38.874834: iter: [9/100], train_loss: 0.031453, valid_loss: 0.002395, best_valid_loss: 0.002395, lr: 0.01000
2024-05-19 18:02:41.161081: iter: [10/100], train_loss: 0.024150, valid_loss: 0.002560, best_valid_loss: 0.002395, lr: 0.01000
2024-05-19 18:02:43.386023: iter: [11/100], train_loss: 0.023505, valid_loss: 0.002766, best_valid_loss: 0.002395, lr: 0.01000
2024-05-19 18:02:44.949770: iter: [12/100], train_loss: 0.016982, valid_loss: 0.001560, best_valid_loss: 0.001560, lr: 0.01000
2024-05-19 18:02:46.457576: iter: [13/100], train_loss: 0.018331, valid_loss: 0.001568, best_valid_loss: 0.001560, lr: 0.01000
2024-05-19 18:02:47.722788: iter: [14/100], train_loss: 0.015215, valid_loss: 0.001644, best_valid_loss: 0.001560, lr: 0.01000
2024-05-19 18:02:49.088790: iter: [15/100], train_loss: 0.016949, valid_loss: 0.001254, best_valid_loss: 0.001254, lr: 0.01000
2024-05-19 18:02:50.427825: iter: [16/100], train_loss: 0.012246, valid_loss: 0.001184, best_valid_loss: 0.001184, lr: 0.01000
2024-05-19 18:02:51.810200: iter: [17/100], train_loss: 0.012822, valid_loss: 0.001423, best_valid_loss: 0.001184, lr: 0.01000
2024-05-19 18:02:53.184107: iter: [18/100], train_loss: 0.012662, valid_loss: 0.001453, best_valid_loss: 0.001184, lr: 0.01000
2024-05-19 18:02:54.527636: iter: [19/100], train_loss: 0.012987, valid_loss: 0.002581, best_valid_loss: 0.001184, lr: 0.01000
2024-05-19 18:02:56.039616: iter: [20/100], train_loss: 0.014917, valid_loss: 0.004313, best_valid_loss: 0.001184, lr: 0.01000
2024-05-19 18:02:57.474818: iter: [21/100], train_loss: 0.013453, valid_loss: 0.000901, best_valid_loss: 0.000901, lr: 0.01000
2024-05-19 18:02:58.839700: iter: [22/100], train_loss: 0.010458, valid_loss: 0.000774, best_valid_loss: 0.000774, lr: 0.01000
2024-05-19 18:03:00.275350: iter: [23/100], train_loss: 0.008967, valid_loss: 0.000763, best_valid_loss: 0.000763, lr: 0.01000
2024-05-19 18:03:01.680520: iter: [24/100], train_loss: 0.009722, valid_loss: 0.000781, best_valid_loss: 0.000763, lr: 0.01000
2024-05-19 18:03:03.122320: iter: [25/100], train_loss: 0.010537, valid_loss: 0.000902, best_valid_loss: 0.000763, lr: 0.01000
2024-05-19 18:03:04.583776: iter: [26/100], train_loss: 0.009467, valid_loss: 0.000691, best_valid_loss: 0.000691, lr: 0.01000
2024-05-19 18:03:05.958500: iter: [27/100], train_loss: 0.008330, valid_loss: 0.001546, best_valid_loss: 0.000691, lr: 0.01000
2024-05-19 18:03:07.407954: iter: [28/100], train_loss: 0.014052, valid_loss: 0.001021, best_valid_loss: 0.000691, lr: 0.01000
2024-05-19 18:03:08.723138: iter: [29/100], train_loss: 0.009676, valid_loss: 0.000746, best_valid_loss: 0.000691, lr: 0.01000
2024-05-19 18:03:09.985015: iter: [30/100], train_loss: 0.009004, valid_loss: 0.000792, best_valid_loss: 0.000691, lr: 0.01000
2024-05-19 18:03:11.283498: iter: [31/100], train_loss: 0.010171, valid_loss: 0.000804, best_valid_loss: 0.000691, lr: 0.01000
