2024-05-19 17:55:14.702975: [training]
2024-05-19 17:55:20.592406: iter: [1/100], train_loss: 2.392308, valid_loss: 0.014484, best_valid_loss: 0.014484, lr: 0.00700
2024-05-19 17:55:22.212073: iter: [2/100], train_loss: 0.259291, valid_loss: 0.022671, best_valid_loss: 0.014484, lr: 0.00700
2024-05-19 17:55:23.877104: iter: [3/100], train_loss: 0.114071, valid_loss: 0.007872, best_valid_loss: 0.007872, lr: 0.00700
2024-05-19 17:55:25.561066: iter: [4/100], train_loss: 0.079021, valid_loss: 0.005921, best_valid_loss: 0.005921, lr: 0.00700
2024-05-19 17:55:27.251028: iter: [5/100], train_loss: 0.064344, valid_loss: 0.005777, best_valid_loss: 0.005777, lr: 0.00700
2024-05-19 17:55:28.949087: iter: [6/100], train_loss: 0.052937, valid_loss: 0.003583, best_valid_loss: 0.003583, lr: 0.00700
2024-05-19 17:55:30.646385: iter: [7/100], train_loss: 0.041020, valid_loss: 0.003288, best_valid_loss: 0.003288, lr: 0.00700
2024-05-19 17:55:32.354470: iter: [8/100], train_loss: 0.034631, valid_loss: 0.002229, best_valid_loss: 0.002229, lr: 0.00700
2024-05-19 17:55:33.997723: iter: [9/100], train_loss: 0.033394, valid_loss: 0.002934, best_valid_loss: 0.002229, lr: 0.00700
2024-05-19 17:55:35.615550: iter: [10/100], train_loss: 0.024550, valid_loss: 0.002786, best_valid_loss: 0.002229, lr: 0.00700
2024-05-19 17:55:37.302563: iter: [11/100], train_loss: 0.020037, valid_loss: 0.001163, best_valid_loss: 0.001163, lr: 0.00700
2024-05-19 17:55:39.041056: iter: [12/100], train_loss: 0.015277, valid_loss: 0.002321, best_valid_loss: 0.001163, lr: 0.00700
2024-05-19 17:55:40.873892: iter: [13/100], train_loss: 0.019731, valid_loss: 0.001011, best_valid_loss: 0.001011, lr: 0.00700
2024-05-19 17:55:42.920825: iter: [14/100], train_loss: 0.013194, valid_loss: 0.001064, best_valid_loss: 0.001011, lr: 0.00700
2024-05-19 17:55:44.588502: iter: [15/100], train_loss: 0.012592, valid_loss: 0.001125, best_valid_loss: 0.001011, lr: 0.00700
2024-05-19 17:55:46.294755: iter: [16/100], train_loss: 0.010011, valid_loss: 0.000867, best_valid_loss: 0.000867, lr: 0.00700
2024-05-19 17:55:47.991733: iter: [17/100], train_loss: 0.012485, valid_loss: 0.001145, best_valid_loss: 0.000867, lr: 0.00700
2024-05-19 17:55:49.624902: iter: [18/100], train_loss: 0.013078, valid_loss: 0.001365, best_valid_loss: 0.000867, lr: 0.00700
2024-05-19 17:55:51.298980: iter: [19/100], train_loss: 0.015027, valid_loss: 0.003198, best_valid_loss: 0.000867, lr: 0.00700
2024-05-19 17:55:52.831372: iter: [20/100], train_loss: 0.021020, valid_loss: 0.001638, best_valid_loss: 0.000867, lr: 0.00700
2024-05-19 17:55:54.404635: iter: [21/100], train_loss: 0.011194, valid_loss: 0.000800, best_valid_loss: 0.000800, lr: 0.00700
2024-05-19 17:55:55.768967: iter: [22/100], train_loss: 0.009152, valid_loss: 0.000765, best_valid_loss: 0.000765, lr: 0.00700
2024-05-19 17:55:57.219574: iter: [23/100], train_loss: 0.008394, valid_loss: 0.000774, best_valid_loss: 0.000765, lr: 0.00700
2024-05-19 17:55:58.712287: iter: [24/100], train_loss: 0.009137, valid_loss: 0.000790, best_valid_loss: 0.000765, lr: 0.00700
2024-05-19 17:56:00.067142: iter: [25/100], train_loss: 0.009480, valid_loss: 0.000792, best_valid_loss: 0.000765, lr: 0.00700
2024-05-19 17:56:01.365719: iter: [26/100], train_loss: 0.009053, valid_loss: 0.001006, best_valid_loss: 0.000765, lr: 0.00700
2024-05-19 17:56:02.665061: iter: [27/100], train_loss: 0.011355, valid_loss: 0.001580, best_valid_loss: 0.000765, lr: 0.00700
2024-05-19 17:56:03.982098: iter: [28/100], train_loss: 0.012897, valid_loss: 0.000721, best_valid_loss: 0.000721, lr: 0.00700
2024-05-19 17:56:05.365468: iter: [29/100], train_loss: 0.009051, valid_loss: 0.000924, best_valid_loss: 0.000721, lr: 0.00700
2024-05-19 17:56:06.889729: iter: [30/100], train_loss: 0.009538, valid_loss: 0.000632, best_valid_loss: 0.000632, lr: 0.00700
2024-05-19 17:56:08.326330: iter: [31/100], train_loss: 0.009291, valid_loss: 0.001106, best_valid_loss: 0.000632, lr: 0.00700
2024-05-19 17:56:09.811763: iter: [32/100], train_loss: 0.008882, valid_loss: 0.000736, best_valid_loss: 0.000632, lr: 0.00700
2024-05-19 17:56:11.399240: iter: [33/100], train_loss: 0.008242, valid_loss: 0.000961, best_valid_loss: 0.000632, lr: 0.00700
2024-05-19 17:56:12.770268: iter: [34/100], train_loss: 0.008700, valid_loss: 0.001708, best_valid_loss: 0.000632, lr: 0.00700
2024-05-19 17:56:14.052301: iter: [35/100], train_loss: 0.012151, valid_loss: 0.000881, best_valid_loss: 0.000632, lr: 0.00700
2024-05-19 17:56:15.321174: iter: [36/100], train_loss: 0.007765, valid_loss: 0.000644, best_valid_loss: 0.000632, lr: 0.00700
2024-05-19 17:56:16.653368: iter: [37/100], train_loss: 0.006776, valid_loss: 0.000614, best_valid_loss: 0.000614, lr: 0.00700
2024-05-19 17:56:17.998287: iter: [38/100], train_loss: 0.010747, valid_loss: 0.000696, best_valid_loss: 0.000614, lr: 0.00700
2024-05-19 17:56:19.396333: iter: [39/100], train_loss: 0.011251, valid_loss: 0.000972, best_valid_loss: 0.000614, lr: 0.00700
2024-05-19 17:56:20.746415: iter: [40/100], train_loss: 0.013261, valid_loss: 0.001259, best_valid_loss: 0.000614, lr: 0.00700
2024-05-19 17:56:22.187693: iter: [41/100], train_loss: 0.010658, valid_loss: 0.001269, best_valid_loss: 0.000614, lr: 0.00700
2024-05-19 17:56:23.445504: iter: [42/100], train_loss: 0.008738, valid_loss: 0.000708, best_valid_loss: 0.000614, lr: 0.00700
2024-05-19 17:56:24.730718: iter: [43/100], train_loss: 0.007427, valid_loss: 0.000579, best_valid_loss: 0.000579, lr: 0.00700
2024-05-19 17:56:26.073084: iter: [44/100], train_loss: 0.007564, valid_loss: 0.000618, best_valid_loss: 0.000579, lr: 0.00700
2024-05-19 17:56:27.454110: iter: [45/100], train_loss: 0.006756, valid_loss: 0.000918, best_valid_loss: 0.000579, lr: 0.00700
2024-05-19 17:56:28.942334: iter: [46/100], train_loss: 0.007272, valid_loss: 0.000562, best_valid_loss: 0.000562, lr: 0.00700
2024-05-19 17:56:30.311837: iter: [47/100], train_loss: 0.008829, valid_loss: 0.000584, best_valid_loss: 0.000562, lr: 0.00700
2024-05-19 17:56:31.886490: iter: [48/100], train_loss: 0.008840, valid_loss: 0.000747, best_valid_loss: 0.000562, lr: 0.00700
2024-05-19 17:56:33.353936: iter: [49/100], train_loss: 0.006968, valid_loss: 0.000691, best_valid_loss: 0.000562, lr: 0.00700
2024-05-19 17:56:34.765290: iter: [50/100], train_loss: 0.009104, valid_loss: 0.000871, best_valid_loss: 0.000562, lr: 0.00700
2024-05-19 17:56:36.056970: iter: [51/100], train_loss: 0.007674, valid_loss: 0.000591, best_valid_loss: 0.000562, lr: 0.00700
2024-05-19 17:56:37.307390: iter: [52/100], train_loss: 0.006770, valid_loss: 0.000618, best_valid_loss: 0.000562, lr: 0.00700
2024-05-19 17:56:38.566902: iter: [53/100], train_loss: 0.007885, valid_loss: 0.000571, best_valid_loss: 0.000562, lr: 0.00700
2024-05-19 17:56:39.986135: iter: [54/100], train_loss: 0.005736, valid_loss: 0.000546, best_valid_loss: 0.000546, lr: 0.00700
2024-05-19 17:56:41.346034: iter: [55/100], train_loss: 0.006039, valid_loss: 0.000562, best_valid_loss: 0.000546, lr: 0.00700
2024-05-19 17:56:42.862381: iter: [56/100], train_loss: 0.006268, valid_loss: 0.000532, best_valid_loss: 0.000532, lr: 0.00700
2024-05-19 17:56:44.164079: iter: [57/100], train_loss: 0.005657, valid_loss: 0.000538, best_valid_loss: 0.000532, lr: 0.00700
2024-05-19 17:56:45.501476: iter: [58/100], train_loss: 0.005822, valid_loss: 0.000592, best_valid_loss: 0.000532, lr: 0.00700
2024-05-19 17:56:46.667596: iter: [59/100], train_loss: 0.006079, valid_loss: 0.000536, best_valid_loss: 0.000532, lr: 0.00700
2024-05-19 17:56:47.890770: iter: [60/100], train_loss: 0.006228, valid_loss: 0.000556, best_valid_loss: 0.000532, lr: 0.00700
2024-05-19 17:56:49.229486: iter: [61/100], train_loss: 0.006148, valid_loss: 0.000545, best_valid_loss: 0.000532, lr: 0.00700
2024-05-19 17:56:50.741032: iter: [62/100], train_loss: 0.005991, valid_loss: 0.000528, best_valid_loss: 0.000528, lr: 0.00700
2024-05-19 17:56:52.234118: iter: [63/100], train_loss: 0.006339, valid_loss: 0.000559, best_valid_loss: 0.000528, lr: 0.00700
2024-05-19 17:56:53.795116: iter: [64/100], train_loss: 0.005961, valid_loss: 0.000540, best_valid_loss: 0.000528, lr: 0.00700
2024-05-19 17:56:55.295259: iter: [65/100], train_loss: 0.006242, valid_loss: 0.000548, best_valid_loss: 0.000528, lr: 0.00700
2024-05-19 17:56:56.668980: iter: [66/100], train_loss: 0.006225, valid_loss: 0.000530, best_valid_loss: 0.000528, lr: 0.00700
2024-05-19 17:56:57.916484: iter: [67/100], train_loss: 0.006232, valid_loss: 0.000541, best_valid_loss: 0.000528, lr: 0.00700
2024-05-19 17:56:59.229719: iter: [68/100], train_loss: 0.006867, valid_loss: 0.000559, best_valid_loss: 0.000528, lr: 0.00700
2024-05-19 17:57:00.485335: iter: [69/100], train_loss: 0.005806, valid_loss: 0.000531, best_valid_loss: 0.000528, lr: 0.00700
2024-05-19 17:57:01.730161: iter: [70/100], train_loss: 0.005571, valid_loss: 0.000523, best_valid_loss: 0.000523, lr: 0.00700
2024-05-19 17:57:03.133083: iter: [71/100], train_loss: 0.006084, valid_loss: 0.000519, best_valid_loss: 0.000519, lr: 0.00700
2024-05-19 17:57:04.488617: iter: [72/100], train_loss: 0.005652, valid_loss: 0.000529, best_valid_loss: 0.000519, lr: 0.00700
2024-05-19 17:57:05.957076: iter: [73/100], train_loss: 0.005796, valid_loss: 0.000518, best_valid_loss: 0.000518, lr: 0.00700
2024-05-19 17:57:07.365552: iter: [74/100], train_loss: 0.006021, valid_loss: 0.000533, best_valid_loss: 0.000518, lr: 0.00700
2024-05-19 17:57:08.628671: iter: [75/100], train_loss: 0.005938, valid_loss: 0.000519, best_valid_loss: 0.000518, lr: 0.00700
