2024-05-19 17:58:29.092496: [training]
2024-05-19 17:58:35.480729: iter: [1/100], train_loss: 2.134253, valid_loss: 0.012787, best_valid_loss: 0.012787, lr: 0.00900
2024-05-19 17:58:37.412378: iter: [2/100], train_loss: 0.232355, valid_loss: 0.011027, best_valid_loss: 0.011027, lr: 0.00900
2024-05-19 17:58:39.289896: iter: [3/100], train_loss: 0.105152, valid_loss: 0.009531, best_valid_loss: 0.009531, lr: 0.00900
2024-05-19 17:58:41.217920: iter: [4/100], train_loss: 0.084146, valid_loss: 0.007361, best_valid_loss: 0.007361, lr: 0.00900
2024-05-19 17:58:43.109215: iter: [5/100], train_loss: 0.069266, valid_loss: 0.005567, best_valid_loss: 0.005567, lr: 0.00900
2024-05-19 17:58:45.212330: iter: [6/100], train_loss: 0.057213, valid_loss: 0.004460, best_valid_loss: 0.004460, lr: 0.00900
2024-05-19 17:58:47.041117: iter: [7/100], train_loss: 0.059914, valid_loss: 0.003474, best_valid_loss: 0.003474, lr: 0.00900
2024-05-19 17:58:48.914147: iter: [8/100], train_loss: 0.044771, valid_loss: 0.002729, best_valid_loss: 0.002729, lr: 0.00900
2024-05-19 17:58:50.809406: iter: [9/100], train_loss: 0.028859, valid_loss: 0.003024, best_valid_loss: 0.002729, lr: 0.00900
2024-05-19 17:58:52.653257: iter: [10/100], train_loss: 0.024261, valid_loss: 0.002327, best_valid_loss: 0.002327, lr: 0.00900
2024-05-19 17:58:54.551342: iter: [11/100], train_loss: 0.018027, valid_loss: 0.001212, best_valid_loss: 0.001212, lr: 0.00900
2024-05-19 17:58:56.380601: iter: [12/100], train_loss: 0.016264, valid_loss: 0.002845, best_valid_loss: 0.001212, lr: 0.00900
2024-05-19 17:58:58.256334: iter: [13/100], train_loss: 0.021806, valid_loss: 0.001545, best_valid_loss: 0.001212, lr: 0.00900
2024-05-19 17:59:00.314158: iter: [14/100], train_loss: 0.019490, valid_loss: 0.001953, best_valid_loss: 0.001212, lr: 0.00900
2024-05-19 17:59:02.411336: iter: [15/100], train_loss: 0.027478, valid_loss: 0.001536, best_valid_loss: 0.001212, lr: 0.00900
2024-05-19 17:59:04.048728: iter: [16/100], train_loss: 0.012558, valid_loss: 0.000884, best_valid_loss: 0.000884, lr: 0.00900
2024-05-19 17:59:05.599442: iter: [17/100], train_loss: 0.012112, valid_loss: 0.000886, best_valid_loss: 0.000884, lr: 0.00900
2024-05-19 17:59:06.843532: iter: [18/100], train_loss: 0.011279, valid_loss: 0.001438, best_valid_loss: 0.000884, lr: 0.00900
2024-05-19 17:59:08.127526: iter: [19/100], train_loss: 0.013254, valid_loss: 0.002927, best_valid_loss: 0.000884, lr: 0.00900
2024-05-19 17:59:09.464734: iter: [20/100], train_loss: 0.018062, valid_loss: 0.000982, best_valid_loss: 0.000884, lr: 0.00900
2024-05-19 17:59:10.820840: iter: [21/100], train_loss: 0.012323, valid_loss: 0.000785, best_valid_loss: 0.000785, lr: 0.00900
2024-05-19 17:59:12.144367: iter: [22/100], train_loss: 0.009981, valid_loss: 0.000703, best_valid_loss: 0.000703, lr: 0.00900
2024-05-19 17:59:13.470108: iter: [23/100], train_loss: 0.008085, valid_loss: 0.000733, best_valid_loss: 0.000703, lr: 0.00900
2024-05-19 17:59:14.910872: iter: [24/100], train_loss: 0.009672, valid_loss: 0.000844, best_valid_loss: 0.000703, lr: 0.00900
2024-05-19 17:59:16.235411: iter: [25/100], train_loss: 0.009862, valid_loss: 0.001274, best_valid_loss: 0.000703, lr: 0.00900
2024-05-19 17:59:17.544061: iter: [26/100], train_loss: 0.009652, valid_loss: 0.000822, best_valid_loss: 0.000703, lr: 0.00900
2024-05-19 17:59:18.825771: iter: [27/100], train_loss: 0.009713, valid_loss: 0.001015, best_valid_loss: 0.000703, lr: 0.00900
2024-05-19 17:59:20.189383: iter: [28/100], train_loss: 0.009900, valid_loss: 0.000714, best_valid_loss: 0.000703, lr: 0.00900
2024-05-19 17:59:21.547505: iter: [29/100], train_loss: 0.007946, valid_loss: 0.000697, best_valid_loss: 0.000697, lr: 0.00900
2024-05-19 17:59:22.906741: iter: [30/100], train_loss: 0.008762, valid_loss: 0.000708, best_valid_loss: 0.000697, lr: 0.00900
2024-05-19 17:59:24.231387: iter: [31/100], train_loss: 0.010086, valid_loss: 0.000940, best_valid_loss: 0.000697, lr: 0.00900
2024-05-19 17:59:25.567943: iter: [32/100], train_loss: 0.009220, valid_loss: 0.000658, best_valid_loss: 0.000658, lr: 0.00900
2024-05-19 17:59:26.883335: iter: [33/100], train_loss: 0.008505, valid_loss: 0.001002, best_valid_loss: 0.000658, lr: 0.00900
2024-05-19 17:59:28.277422: iter: [34/100], train_loss: 0.008481, valid_loss: 0.001876, best_valid_loss: 0.000658, lr: 0.00900
