2024-05-19 17:51:31.948627: [training]
2024-05-19 17:51:37.985695: iter: [1/100], train_loss: 2.760393, valid_loss: 0.021367, best_valid_loss: 0.021367, lr: 0.00500
2024-05-19 17:51:40.317990: iter: [2/100], train_loss: 0.400366, valid_loss: 0.049770, best_valid_loss: 0.021367, lr: 0.00500
2024-05-19 17:51:42.603971: iter: [3/100], train_loss: 0.160333, valid_loss: 0.011054, best_valid_loss: 0.011054, lr: 0.00500
2024-05-19 17:51:44.933471: iter: [4/100], train_loss: 0.091583, valid_loss: 0.008722, best_valid_loss: 0.008722, lr: 0.00500
2024-05-19 17:51:47.308865: iter: [5/100], train_loss: 0.082769, valid_loss: 0.006294, best_valid_loss: 0.006294, lr: 0.00500
2024-05-19 17:51:49.650451: iter: [6/100], train_loss: 0.071406, valid_loss: 0.005354, best_valid_loss: 0.005354, lr: 0.00500
2024-05-19 17:51:52.072266: iter: [7/100], train_loss: 0.059707, valid_loss: 0.004096, best_valid_loss: 0.004096, lr: 0.00500
2024-05-19 17:51:54.261885: iter: [8/100], train_loss: 0.057716, valid_loss: 0.003463, best_valid_loss: 0.003463, lr: 0.00500
2024-05-19 17:51:56.393576: iter: [9/100], train_loss: 0.050148, valid_loss: 0.005346, best_valid_loss: 0.003463, lr: 0.00500
2024-05-19 17:51:58.695752: iter: [10/100], train_loss: 0.063661, valid_loss: 0.005580, best_valid_loss: 0.003463, lr: 0.00500
2024-05-19 17:52:01.084155: iter: [11/100], train_loss: 0.054410, valid_loss: 0.002656, best_valid_loss: 0.002656, lr: 0.00500
2024-05-19 17:52:03.004879: iter: [12/100], train_loss: 0.040988, valid_loss: 0.003029, best_valid_loss: 0.002656, lr: 0.00500
2024-05-19 17:52:04.615652: iter: [13/100], train_loss: 0.038470, valid_loss: 0.002602, best_valid_loss: 0.002602, lr: 0.00500
2024-05-19 17:52:05.891627: iter: [14/100], train_loss: 0.034947, valid_loss: 0.002123, best_valid_loss: 0.002123, lr: 0.00500
2024-05-19 17:52:07.188958: iter: [15/100], train_loss: 0.031405, valid_loss: 0.001587, best_valid_loss: 0.001587, lr: 0.00500
2024-05-19 17:52:08.478658: iter: [16/100], train_loss: 0.021658, valid_loss: 0.001162, best_valid_loss: 0.001162, lr: 0.00500
2024-05-19 17:52:09.936632: iter: [17/100], train_loss: 0.023207, valid_loss: 0.001143, best_valid_loss: 0.001143, lr: 0.00500
